CRN1,SUBJECT,COURSE_TITLE,PROF,MEET_DAYS,CLASS_TIME,ROOM,MAX_ENROLL,CURR_ENROLL,OPEN_SEATS,REQUIREMENT,NOTES
60155,DAN 252-0,"History, Memory,Perf, Place",Chapman D,  T  R  ,0245 - 0400pm, ,15,0,15,JEC,O
60156,DAN 284-0,Dancing Diasporas,Chapman D,  T  R  ,1135 - 1250pm, ,30,0,30,CULT VPRQ,O
60157,DAN 288-0,Choreographing Politics,Chapman D,  T  R  ,0950 - 1105am, ,30,0,30,JEC,O
60158,DIG 120-0,Programming in the Humanities,Kabala J,  T  R  ,0815 - 0930am, ,12,0,12,MQRQ,"XLST,O"
60159,DIG 211-0,Surveillance Culture,Mundy O, M  W   ,0805 - 0920am, ,25,0,25,JEC,O
60160,DIG 250-0,Game Development,Mundy O, M  W   ,0220 - 0335pm, ,12,0,12,NONE,O
60161,DIG 345-0,Radical Software,Mundy O,  T    ,0110 - 0400pm, ,12,0,12,VPRQ,"PRQ,O"
60162,DIG 404-0,Humanities Startup,Sample M,    R  ,0110 - 0400pm,VAC 212,12,0,12,NONE,H
60163,ECO 101-A,Introductory Economics,Kumar V,  T  R  ,0815 - 0930am, ,20,0,20,SSRQ,O
60164,ECO 101-B,Introductory Economics,Kumar V,  T  R  ,1135 - 1250pm, ,20,0,20,SSRQ,O
60165,ECO 101-C,Introductory Economics,Ross C, M  W  F ,0330 - 0420pm,CHAM 2106,20,0,20,SSRQ,H
60166,ECO 101-D,Introductory Economics,Smith F, M  W  F ,1200 - 1250pm,TOM CONF,20,0,20,SSRQ,H
60167,ECO 101-E,Introductory Economics,Smith F, M  W  F ,0110 - 0200pm,TOM CONF,20,0,20,SSRQ,H
60168,ECO 105-A,Stats & Basic Econometrics,Martin D, M  W  F ,0830 - 0920am, ,30,0,30,MQRQ,O
60169,ECO 105-B,Stats & Basic Econometrics,Martin D, M  W  F ,1050 - 1140am, ,30,0,30,MQRQ,O
60170,ECO 105-C,Stats & Basic Econometrics,Foley M,  T  R  ,0815 - 0930am, ,30,0,30,MQRQ,O
60171,ECO 202-A,Intermed Microeconomic Theory,O'Keefe S, M  W  F ,0940 - 1030am,ALVA 307,30,0,30,SSRQ,"PRQ,F"
60172,ECO 202-B,Intermed Microeconomic Theory,O'Keefe S, M  W  F ,1050 - 1140am,ALVA 307,30,0,30,SSRQ,"PRQ,F"
60173,ECO 203-A,Intermed Macroeconomic Theory,Gouri Suresh S,  T  R  ,0950 - 1105am, ,30,0,30,SSRQ,"PRQ,O"
60174,ECO 203-B,Intermed Macroeconomic Theory,Gouri Suresh S,  T  R  ,0110 - 0225pm, ,30,0,30,SSRQ,"PRQ,O"
60175,ECO 205-A,Econometrics,Stroup C,  T    ,0305 - 0420pm,LIB B110,13,0,13,MQRQ,"PRQ,H"
60175,ECO 205-A,Econometrics,Stroup C, M  W  F ,1200 - 1250pm,CHAM 2164,13,0,13,MQRQ,"PRQ,H"
60176,ECO 205-B,Econometrics,Stroup C,    R  ,0305 - 0420pm,LIB B110,13,0,13,MQRQ,"PRQ,H"
60176,ECO 205-B,Econometrics,Stroup C, M  W  F ,1200 - 1250pm,CHAM 2164,13,0,13,MQRQ,"PRQ,H"
60177,ECO 205-C,Econometrics,Stroup C,  T    ,0805 - 0930am,LIB B110,13,0,13,MQRQ,"PRQ,H"
60177,ECO 205-C,Econometrics,Stroup C, M  W  F ,0110 - 0200pm,CHAM 2187,13,0,13,MQRQ,"PRQ,H"
60178,ECO 205-D,Econometrics,Stroup C,    R  ,0805 - 0930am,LIB B110,13,0,13,MQRQ,"PRQ,H"
60178,ECO 205-D,Econometrics,Stroup C, M  W  F ,0110 - 0200pm,CHAM 2187,13,0,13,MQRQ,"PRQ,H"
60179,ECO 211-0,Introduction to Accounting,Baker B,      ,TBA , ,30,0,30,NONE,"34+,O"
60180,ECO 212-0,Intermediate Accounting,Baker B,      ,TBA , ,30,0,30,NONE,"PRQ,O"
60181,ECO 214-0,Introduction to Finance,Kollme B,  T  R  ,0815 - 0930am,CHAM 2164,30,0,30,NONE,"PRQ,H"
60182,ECO 219-0,Game Theory/Strategic Behavior,Foley M,  T  R  ,0950 - 1105am, ,30,0,30,MQRQ,"PRQ,O"
60183,ECO 221-0,Economic History of the US,Ross C, M  W  F ,1050 - 1140am,CHAM GALL,30,0,30,HTRQ JEC,"PRQ,F"
60184,ECO 227-0,Economics of Gender & Family,Cools A, M  W  F ,0940 - 1030am,WATSON 119,30,0,30,JEC SSRQ,"PRQ,H"
60185,ECO 234-0,Latin American Economic Dev,Crandall B,  T  R  ,0110 - 0225pm,TOM CONF,30,0,30,CULT SSRQ,"PRQ,F"
60186,ECO 325-0,Public Sector Economics,O'Keefe S, M  W  F ,0110 - 0200pm,CHAM 1111,30,0,30,SSRQ,"PRQ,H"
60187,ECO 329-0,Sports Economics,Smith F,  T  R  ,1135 - 1250pm,WATSON 119,30,0,30,NONE,"PRQ,H"
60188,ECO 385-0,Forecasting,Jha J, M  W   ,0730 - 0845pm, ,26,0,26,MQRQ,"PRQ,O"
60189,ECO 495-A,"""Great"" Books in Economics",Jha J, M  W   ,0220 - 0335pm, ,12,0,12,NONE,"PRQ,4+,O"
60190,ECO 495-B,Behavioral Economics,Foley M, M  W   ,0220 - 0335pm, ,12,0,12,NONE,"PRQ,4+,O"
60191,ECO 495-C,Migration,Gouri Suresh S, M  W   ,0220 - 0335pm, ,12,0,12,NONE,"PRQ,4+,O"
60192,ECO 495-D,Milestones in Economic Thought,Kumar V, M  W   ,0220 - 0335pm, ,12,0,12,NONE,"PRQ,4+,O"
60193,ECO 495-E,Topics in Public Policy,Cools A, M  W  F ,0220 - 0310pm,CHAM 2130,12,0,12,NONE,"PRQ,4+,H"
60194,ECO 495-H,Honors Thesis,Stroup C, M  W  F ,0220 - 0310pm,CHAM 3198,12,0,12,NONE,"PRQ,4+,H"
60195,EDU 121-0,Foundations of American Educ,Gay R, M  W  F ,0940 - 1030am, ,30,0,30,HTRQ,O
60196,EDU 280-0,Intro to Education Policy,Murray B,  T  R  ,0245 - 0400pm, ,30,0,30,JEC SSRQ,O
60197,EDU 290-0,Oral History,Kelly H, M     ,0110 - 0400pm, ,10,0,10,HTRQ,"XLST,O"
60198,EDU 292-0,Theory of Sports Coaching ,Gay R, M  W  F ,1200 - 1250pm, ,30,0,30,NONE,O
60199,EDU 300-0,The Politics of Education,Murray B, M  W  F ,1050 - 1140am, ,20,0,20,SSRQ,O
60200,EDU 310-0,The Afterlife of School Seg,Kelly H,   W   ,0110 - 0400pm, ,20,0,20,JEC SSRQ,O
60201,EDU 360-0,Second Language Acquisition,Fernandez R,  T  R  ,0110 - 0225pm, ,15,0,15,SSRQ,"PRQ,O"
60204,ENG 110-A,Graphic Med:Drawing Disability,Fox A, M  W  F ,0940 - 1030am, ,30,0,30,LTRQ,O
60205,ENG 110-B,Contemporary American Fiction,Parker A,  T  R  ,0950 - 1105am,ALVA 307,30,0,30,LTRQ,H
60206,ENG 203-0,Introduction to Writing Poetry,Calfo-Kalfopoulou A,  T    ,0110 - 0400pm,WATSON 119,14,0,14,LTRQ,H
60207,ENG 205-0,Screenwriting,Clement-Lam L, M     ,0110 - 0400pm, ,14,0,14,VPRQ,O
60208,ENG 211-0,Filmmaking,Clement-Lam L,   W   ,0110 - 0400pm, ,14,0,14,VPRQ,O
60209,ENG 220-A,Literary Analysis,Fackler M, M  W  F ,1050 - 1140am, ,20,0,20,LTRQ,O
60210,ENG 220-B,Literary Analysis,Ingram R, M  W   ,0220 - 0335pm,WATSON 157,20,0,20,LTRQ,H
60211,ENG 242-0,REG FOR THE 242 CRN 60545,Green S, M  W  F ,0110 - 0200pm,CUNN 115,0,0,0,JEC VPRQ,"XLST,H"
60212,ENG 260-0,British Literature Since 1800,Vaz O, M  W  F ,0110 - 0200pm, ,30,0,30,LTRQ,O
60213,ENG 272-0,Intro Asian American Lit,Hong H,  T  R  ,0110 - 0225pm,WALL 243,30,0,30,LTRQ,H
60214,ENG 289-0,Native American Env Lit,Merrill A, M  W   ,0805 - 0920am,TOM CONF,30,0,30,LTRQ,H
60215,ENG 294-0,Harlem Renaissance,Churchill S,  T  R  ,0950 - 1105am,CHAM 1046,30,0,30,CULT LTRQ,H
60215,ENG 294-0,Harlem Renaissance,Churchill S,  T  R  ,0950 - 1105am,CHAM 1027,30,0,30,CULT LTRQ,H
60216,ENG 296-0,Science Fiction and Technology,Sample M,  T  R  ,0950 - 1105am, ,20,0,20,JEC LTRQ,O
60217,ENG 297-0,Caribbean Literature,Flanagan B, M  W   ,0220 - 0335pm,SLOAN 201,15,0,15,CULT LTRQ,"XLST,H"
60218,ENG 301-0,Creative Nonfiction,Calfo-Kalfopoulou A,    R  ,0110 - 0400pm,CHAM 1015,14,0,14,LTRQ,H
60219,ENG 307-I,Forms of Fiction,Parker A,  T    ,0110 - 0400pm,CHAM 1062,20,0,20,LTRQ,"INN,H"
60220,ENG 309-I,Forms of Poetry,Rippeon A,   W   ,0110 - 0400pm, ,20,0,20,LTRQ,"INN,O"
60221,ENG 333-I,Literary Satans,Ingram R, M  W  F ,1050 - 1140am,CHAM 3106,30,0,30,LTRQ,"INN,H"
60222,ENG 353-0,Shakespeare & Contemporaries,Lewis C,  T  R  ,1135 - 1250pm,CHAM 3198,10,0,10,LTRQ,H
60223,ENG 384-I,When Whites Write Black,Flanagan B, M  W  F ,0940 - 1030am,CHAM 1062,16,0,16,CULT LTRQ,"INN,H"
60224,ENG 388-0,Contemporary Theatre,Fox A, M  W  F ,1200 - 1250pm, ,30,0,30,JEC LTRQ,O
60225,ENG 390-0,Word-Art:Seeing in Black&White,Churchill S,  T  R  ,0110 - 0225pm,WATSON 157,20,0,20,CULT LTRQ,"NA,H"
60226,ENG 394-0,"Nationalism, Race, & Empire",Vaz O, M  W  F ,1200 - 1250pm, ,30,0,30,JEC LTRQ,O
60227,ENG 404-0,Writing the Sexy Novella,Flanagan B,    R  ,0140 - 0420pm,CHAM 2130,12,0,12,NONE,"34,H"
60228,ENG 409-A,TV: Queer Representations,Fackler M, M     ,0110 - 0400pm, ,6,0,6,JEC,"XLST,O"
60580,ENG 409-B,TV: Queer Representations,Fackler M,   W   ,0110 - 0400pm, ,6,0,6,JEC,"XLST,O"
60229,ENG 462-0,Long 18th Century Gothic,Vaz O,  T    ,0110 - 0400pm, ,12,0,12,NONE,O
60230,ENG 499-0,Senior Honors Thesis,Lewis C,  T  R  ,0700 - 0815pm,CHAM 2068,11,0,11,NONE,"4,PRM,H"
60231,ENV 201-A,Environmental Science,Bratt A,  T    ,0110 - 0400pm,WALL 116,16,0,16,NSRQ,"123+,H,FL"
60231,ENV 201-A,Environmental Science,Bratt A,  T  R  ,0950 - 1105am,WALL 243,16,0,16,NSRQ,"123+,H,FL"
60232,ENV 201-B,Environmental Science,Bratt A,   W   ,0110 - 0400pm,WALL 116,16,0,16,NSRQ,"123+,H,FL"
60232,ENV 201-B,Environmental Science,Bratt A,  T  R  ,0950 - 1105am,WALL 243,16,0,16,NSRQ,"123+,H,FL"
60233,ENV 202-0,Environmental Social Sciences,Worl J,  T  R  ,0815 - 0930am,WATSON 157,30,0,30,SSRQ,H
60233,ENV 202-0,Environmental Social Sciences,Worl J,  T  R  ,0815 - 0930am,WATSON 147,30,0,30,SSRQ,H
60234,ENV 203-0,Environmental Humanities,Merrill A, M  W  F ,1050 - 1140am,WATSON 157,30,0,30,NONE,"123+,H"
60234,ENV 203-0,Environmental Humanities,Merrill A, M  W  F ,1050 - 1140am,WATSON 147,30,0,30,NONE,"123+,H"
60235,ENV 256-0,Environmental History,Garcia Peacock J, M  W   ,0220 - 0335pm,WALL 243,30,0,30,HTRQ,H
60236,ENV 273-0,"Art, Activism & Environment",Garcia Peacock J,  T  R  ,0110 - 0225pm,WALL 320,20,0,20,JEC,H
60237,ENV 275-0,Urban Ecology,Bratt A,  T  R  ,0700 - 0815pm,WALL 251,15,0,15,NONE,H
60238,ENV 330-0,Surface Geology & Landforms,Johnson B,  T  R  ,1135 - 1250pm,WALL 251,15,0,15,NONE,F
60239,ENV 345-0,Politics of Waste,Worl J,  T  R  ,0835 - 0950pm,WATSON 157,20,0,20,JEC SSRQ,H
60239,ENV 345-0,Politics of Waste,Worl J,  T  R  ,0835 - 0950pm,WATSON 147,20,0,20,JEC SSRQ,H
60240,ENV 385-0,Environmental Justice Art,Garcia Peacock J, M  W  F ,1200 - 1250pm,WALL 307,6,0,6,NONE,F
60241,ENV 401-A,Environmental Studies Seminar,Merrill A,  T  R  ,0245 - 0400pm,WALL 320,15,0,15,NONE,"PRQ,4,H"
60242,ENV 401-B,Environmental Studies Seminar,Merrill A,  T  R  ,0245 - 0400pm,WALL 320,5,0,5,NONE,"PRQ,3,H"
60243,FMS 220-0,Intro to Film & Media Studies,McCarthy M, M  W  F ,1200 - 1250pm,CHAM 1003,30,0,30,VPRQ,H
60244,FRE 101-0,Elementary French I,Hope S, M  W  F ,1050 - 1105am, ,18,0,18,NONE,"AT-II,O"
60245,FRE 102-A,Elementary French II,Postoli S, M  W  F ,1050 - 1140am,CHAM 1006,18,0,18,NONE,"AT-II,H"
60246,FRE 102-B,Elementary French II,Postoli S, M  W  F ,1200 - 1250pm,CHAM 1006,18,0,18,NONE,"AT-II,H"
60247,FRE 201-A,Intermed Fre/Davidson Exposure,Mohammed S, M  W  F ,0940 - 1030am, ,18,0,18,FRLG,"AT,O"
60248,FRE 201-B,Intermed Fre/Davidson Exposure,Mohammed S, M  W  F ,1050 - 1140am, ,18,0,18,FRLG,"AT,O"
60249,FRE 212-0,Oral Expression,Beschea F,  T  R  ,1135 - 1250pm,CHAM LRC,16,0,16,FRLG,"AT,PRQ,H"
60249,FRE 212-0,Oral Expression,Beschea F,  T  R  ,1135 - 1250pm,CHAM 3106,16,0,16,FRLG,"AT,PRQ,H"
60576,FRE 220-0,Portraits of Women in Lit,Hope S, M  W  F ,1200 - 1250pm, ,18,0,18,LITE LTRQ,"PRQ, O"
60251,FRE 260-0,Contemporary France,Kruger C,  T  R  ,0950 - 1105am,CHAM 1003,18,0,18,FRLG,"PRQ,F"
60253,FRE 313-0,Advanced Grammar Review,Mohammed S, M  W  F ,1200 - 1250pm, ,16,0,16,NONE,"PRQ,O"
60254,FRE 315-0,History of the French Language,Beschea F,  T  R  ,0110 - 0225pm,CHAM 3106,18,0,18,FRLG,"PRQ,H"
60255,FRE 362-0,Gender & Sexuality in Maghreb,Postoli S, M  W   ,0220 - 0335pm,CHAM 1006,18,0,18,CULT FRLG LTRQ,F
60257,FRE 491-0,Senior Capstone,Kruger C,  T  R  ,1135 - 1250pm,CHAM 2068,10,0,10,NONE,"4,F"
60258,GER 102-A,Elementary German II,McCarthy M, M  W  F ,1050 - 1140am,CHAM 1003,15,0,15,NONE,"AT-II,H"
60259,GER 102-B,Elementary German II,Frazier-Rath E, M  W  F ,0940 - 1030am,CHAM 1006,15,0,15,NONE,"AT-II,H"
60260,GER 250-0,Intro to Literary Studies,Henke B,  T  R  ,1135 - 1250pm, ,15,0,15,FRLG LTRQ,"PRQ,O"
60261,GER 331-0,Post-War Ger Novel (in transl),Henke B,  T  R  ,0245 - 0400pm, ,20,0,20,LTRQ,O
60262,GER 351-0,Remembering Violence,Frazier-Rath E,  T  R  ,1135 - 1250pm,CHAM 1006,15,0,15,LTRQ,"PRQ,H"
60264,GRE 103-0,Intens Elem Greek (2 credits),Cheshire K,  T  R  ,0950 - 1105am,EU 101,12,0,12,NONE,"AT-II,F"
60264,GRE 103-0,Intens Elem Greek (2 credits),Cheshire K, M  W  F ,0940 - 1030am,EU 101,12,0,12,NONE,"AT-II,F"
60265,GRE 244-0,Greek Historians: Herodotus,Toumazou M,  T  R  ,0245 - 0400pm,CHAM 3084,5,0,5,FRLG LTRQ,"XLST,PRQ,F"
60266,GRE 344-0,Adv Greek Historians:Herodotus,Toumazou M,  T  R  ,0245 - 0400pm,CHAM 3084,5,0,5,FRLG LTRQ,"XLST,PRQ,F"
60267,GSS 101-0,Intro to Gender & Sexuality,Mahoney A,  T  R  ,0950 - 1105am, ,30,0,30,JEC,O
60268,GSS 201-0,Feminist & Queer Theories,Tilburg P,  T  R  ,0110 - 0225pm, ,20,0,20,JEC,O
60269,GSS 341-0,Asian Amer Lit & Film,Tamura Y,  T  R  ,0245 - 0400pm, ,30,0,30,JEC LTRQ,O
60579,GSS 401-0,TV: Queer Representations,Fackler M, M     ,0110 - 0400pm, ,6,0,6,JEC,
60270,GSS 401-A,TV: Queer Representations,Fackler M,   W   ,0110 - 0400pm, ,6,0,6,JEC,"XLST,O"
60271,GSS 402-0,Seminar: Black Sexual Politics,Mahoney A,    R  ,0110 - 0400pm, ,12,0,12,JEC SSRQ,O
60272,GSS 435-0,"Brown, Black, and Blue",Horowitz K,   W   ,0110 - 0400pm, ,12,0,12,JEC,O
60273,HHV 110-0,Introduction to Public Health,Bullock S,  T  R  ,0950 - 1105am, ,30,0,30,NONE,O
60274,HHV 234-0,"Genes, Environment, & Health",Mamoon N, M  W   ,0220 - 0335pm,WATSON 119,16,0,16,JEC,H
60275,HHV 280-0,Introduction to Global Health,Chillag K, M  W   ,0805 - 0920am, ,32,0,32,JEC,O
60276,HHV 292-0,Intro to Epidemiology,Bullock S, M  W   ,0220 - 0335pm, ,30,0,30,SSRQ,O
60277,HHV 370-0,"Nutrition, Bodies, and Health",Stutts L,  T  R  ,0950 - 1105am, ,12,0,12,JEC,"234,O"
60278,HHV 373-0,Food and Nutrition Policy,Bullock S,    R  ,0110 - 0400pm, ,12,0,12,NONE,"34,O"
60279,HHV 395-A,Current Issues Public Health,Wessner D, M     ,0110 - 0400pm,CHAM 2234,10,0,10,NONE,"234,H"
60280,HHV 395-B,Public Health Ethics,Chillag K, M  W   ,0220 - 0335pm, ,12,0,12,NONE,"234,O"
60281,HIS 141-0,19th Century US History,Stremlau R, M  W  F ,0220 - 0310pm,CHAM 1111,30,0,30,HTRQ,"123,H"
60282,HIS 142-0,The United States since 1900,Wertheimer J, M  W  F ,1050 - 1140am, ,30,0,30,HTRQ,"123,O"
60283,HIS 163-0,Place & Nation in Modrn Lat Am,Mangan J,  T  R  ,0815 - 0930am,CHAM 1003,30,0,30,CULT HTRQ,"123,H"
60284,HIS 171-0,Taj Mahal to Terrorism,Waheed S,  T  R  ,0245 - 0400pm,DANA 146,30,0,30,CULT HTRQ,"123,H"
60285,HIS 175-0,"Mid East,610-1453:Formtn Islam",Berkey J, M  W  F ,0940 - 1030am,TOM CONF,30,0,30,CULT HTRQ,"123,H"
60286,HIS 184-0,East Asian Hist 1850 - Present,Mortensen D,  T  R  ,0110 - 0225pm, ,30,0,30,CULT HTRQ,"123,O"
60287,HIS 228-0,"Modern Bodies: Gend, Sex, Race",Tilburg P, M  W   ,0220 - 0335pm, ,15,0,15,HTRQ JEC,O
60577,HIS 234-0,The Holocaust,McQuinn I, M  W   ,0730 - 0845pm, ,15,0,15,HTRQ JEC,O
60288,HIS 242-0,Origins American South,Guasco M, M  W   ,0220 - 0335pm,CHAM HANCE,15,0,15,HTRQ,"123,H"
60289,HIS 252-0,The U.S. in World War II,Wertheimer J,  T  R  ,0110 - 0225pm, ,20,0,20,HTRQ,"123,O"
60290,HIS 255-0,American Popular Culture,Aldridge D,  T  R  ,0245 - 0400pm, ,15,0,15,HTRQ,"123,O"
60291,HIS 267-0,Health & Society in Africa,Wiemers A, M  W   ,0220 - 0335pm, ,15,0,15,HTRQ JEC,"123,O"
60292,HIS 272-0,Massacres/Migrations: India,Waheed S,  T  R  ,1135 - 1250pm,CHAM 3196,15,0,15,HTRQ JEC,"123,H"
60293,HIS 315-0,Central Europe in Middle Ages,Kabala J,  T  R  ,1135 - 1250pm, ,30,0,30,HTRQ,O
60294,HIS 325-0,Britain from 1688 to 1832,Dietz V,  T  R  ,1135 - 1250pm,CHAM 1027,30,0,30,HTRQ,H
60295,HIS 332-0,"European Metropolis, 1870-1914",Tilburg P, M  W  F ,1200 - 1250pm, ,30,0,30,HTRQ,O
60296,HIS 335-0,Postwar,McQuinn I, M  W  F ,0940 - 1030am, ,30,0,30,HTRQ,O
60297,HIS 341-0,Era of the American Revolution,Guasco M,  T  R  ,0950 - 1105am,CHAM HANCE,30,0,30,HTRQ,H
60298,HIS 349-0,The Vietnam Experience,Aldridge D,  T  R  ,0815 - 0930am, ,30,0,30,HTRQ,O
60299,HIS 352-0,Native America since 1840,Stremlau R, M  W  F ,1050 - 1140am,TOM CONF,30,0,30,CULT HTRQ,H
60300,HIS 384-0,Shanghai,Mortensen D,  T  R  ,0950 - 1105am, ,30,0,30,CULT HTRQ,O
60301,HIS 414-0,Mapping Medieval Europe,Kabala J,   W   ,0110 - 0400pm, ,12,0,12,NONE,"34,O"
60302,HIS 422-0,Gender in Early Modern Europe,Dietz V, M     ,0110 - 0400pm,CHAM 2068,12,0,12,NONE,"34,H"
60303,HIS 444-0,History of Sexuality,Stremlau R, M  W   ,0730 - 0845pm,CHAM 3196,12,0,12,NONE,"34,H"
60304,HIS 449-0,Age of Revolution: US in 1960s,Aldridge D,   W   ,0110 - 0400pm, ,12,0,12,NONE,"34,O"
60305,HIS 454-0,Filming Southern History,Wertheimer J,   W   ,0110 - 0400pm, ,12,0,12,JEC,"34,O"
60306,HIS 489-0,Kelley Honors Seminar,Berkey J,   W   ,0110 - 0400pm,CHAM 2146,10,0,10,NONE,"4,H"
60307,HUM 104-0,Connections and Conflicts II,Denham S,  T  R  ,0950 - 1105am, ,84,0,84,COMP,"R,O"
60308,HUM 104-A,REG FOR HUM 104-0 CRN 60307,Fache C,  T  R  ,0950 - 1105am, ,0,0,0,COMP,"R,O"
60309,HUM 104-B,REG FOR HUM 104-0 CRN 60307,Tamura Y,  T  R  ,0950 - 1105am, ,0,0,0,COMP,"R,O"
60310,HUM 104-C,REG FOR HUM 104-0 CRN 60307,Wills A,  T  R  ,0950 - 1105am, ,0,0,0,COMP,"R,O"
60311,HUM 104-D,REG FOR HUM 104-0 CRN 60307,Bory A,  T  R  ,0950 - 1105am, ,0,0,0,COMP,"R,O"
60312,HUM 104-E,REG FOR HUM 104-0 CRN 60307,Denham S,  T  R  ,0950 - 1105am, ,0,0,0,COMP,"R,O"
60313,HUM 104-F,REG FOR HUM 104-0 CRN 60307,Luis D,  T  R  ,0950 - 1105am, ,0,0,0,COMP,"R,O"
60314,HUM 196-0,Adv Humanities II,Denham S,  T  R  ,0950 - 1105am, ,10,0,10,NONE,"PRM,O"
60315,LAS 101-0,Intro Latin American Studies,Sturtevant C,  T  R  ,0950 - 1105am,CHAM 3106,30,0,30,CULT,H
60316,LAS 220-0,Politics & Economics of Brazil,Crandall B,  T  R  ,1135 - 1250pm,TOM CONF,13,0,13,CULT SSRQ,"XLST,F"
60317,LAS 241-0,Lat Amer Social Movements,Sturtevant C, M  W   ,0220 - 0335pm,TOM CONF,18,0,18,CULT SSRQ,F
60318,LAS 300-0,Afrocubana Feminisms,Benson D,   W   ,0110 - 0400pm, ,8,0,8,JEC,"XLST,O"
60319,LAS 350-0,Latinx Experiences in NC,Sturtevant C,  T  R  ,0110 - 0225pm,CHAM 3068,12,0,12,CULT SSRQ,F
60322,LAT 102-0,Elementary Latin II,Truetzel A, M  W  F ,1200 - 1250pm,CHAM 1062,20,0,20,NONE,"AT-II,H"
60323,LAT 251-0,Roman Novel: The Golden Ass,Cheshire K, M  W  F ,1050 - 1140am,EU 101,10,0,10,FRLG LTRQ,"PRQ,XLST,F"
60324,LAT 351-0,Adv Roman Novel:The Golden Ass,Cheshire K, M  W  F ,1050 - 1140am,EU 101,10,0,10,FRLG LTRQ,"PRQ,XLST,F"
60325,LIT 432-0,Theory & Prac Lit Translation,Race M,     F ,1200 - 0310pm, ,12,0,12,NONE,"R,O"
60326,MAT 105-0,Introduction to Statistics,Staff S,  T  R  ,0815 - 0930am, ,24,0,24,JEC MQRQ,O
60327,MAT 108-0,Exploring Mathematical Ideas,Troyka J,  T  R  ,0950 - 1105am, ,30,0,30,MQRQ,O
60328,MAT 112-A,Calculus I and Modeling,Zhuang Y, M  W  F ,0110 - 0200pm, ,26,0,26,MQRQ,O
60329,MAT 112-B,Calculus I and Modeling,Zhuang Y, M  W  F ,0220 - 0310pm, ,26,0,26,MQRQ,O
60330,MAT 113-A,Calculus II,Molinek D, M  W  F ,0830 - 0920am, ,26,0,26,MQRQ,"PRQ,O"
60331,MAT 113-B,Calculus II,Molinek D, M  W  F ,0940 - 1030am, ,26,0,26,MQRQ,"PRQ,O"
60332,MAT 140-0,Multivar Calculus & Modeling,Wiedemann A, M  W  F ,0110 - 0200pm, ,26,0,26,MQRQ,"PRQ,O"
60333,MAT 150-A,Linear Algebra,Smith H,  T  R  ,0110 - 0225pm, ,24,0,24,MQRQ,"PRQ,O"
60334,MAT 150-B,Linear Algebra,Smith H,  T  R  ,0245 - 0400pm, ,24,0,24,MQRQ,"PRQ,O"
60335,MAT 160-0,Calculus III,Troyka J,  T  R  ,1135 - 1250pm, ,26,0,26,MQRQ,"PRQ,O"
60336,MAT 210-0,Mathematical Modeling,Chartier T,      ,TBA , ,24,0,24,MQRQ,"XLST,PRQ,O"
60337,MAT 220-0,REG FOR CSC 220 CRN 60143,Wiedenbeck B,  T  R  ,0815 - 0930am, ,0,0,0,MQRQ,"XLST,PRQ,O"
60338,MAT 230-0,Sets and Proofs,Tamagawa S,  T  R  ,0950 - 1105am, ,20,0,20,MQRQ,"PRQ,O"
60339,MAT 255-0,Number Theory,Zhuang Y, M  W  F ,0940 - 1030am, ,20,0,20,MQRQ,"PRQ,O"
60340,MAT 315-0,Numerical Analysis,Chartier T,      ,TBA , ,24,0,24,NONE,"XLST,PRQ,O"
60341,MAT 331-0,Complex Analysis,Wiedemann A, M  W  F ,1050 - 1140am, ,30,0,30,NONE,"PRQ,O"
60342,MAT 341-0,Mathematical Statistics,Yerger C,  T  R  ,0815 - 0930am, ,30,0,30,NONE,"PRQ,O"
60343,MAT 380-0,History of Mathematics,Tamagawa S,  T  R  ,0110 - 0225pm, ,30,0,30,NONE,"PRQ,O"
60344,MAT 437-0,Dynamical Systems,Molinek D,      ,TBA , ,30,0,30,NONE,"PRQ,O"
60345,MIL 102-0,Foundations of Leadership,Hoffman H,      ,TBA , ,10,0,10,NONE,"12,M"
60346,MIL 202-0,Army Doctrine-Decision Making,Hoffman H,      ,TBA , ,10,0,10,NONE,"12,M"
60347,MIL 302-0,Applied Ldrshp-Small Unit Ops,Hoffman H,      ,TBA , ,10,0,10,NONE,"3,R,XP"
60348,MIL 402-0,Company Grade Leadership,Hoffman H,      ,TBA , ,10,0,10,NONE,"4,R,XP"
60349,MUS 102-0,Contemporary Music Theory,Stasack J, M  W  F ,0940 - 1030am,SLOAN 201,20,0,20,VPRQ,H
60350,MUS 121-0,Music in Western Civilization,Botelho M, M  W  F ,0830 - 0920am,SLOAN 201,26,0,26,VPRQ,F
60351,MUS 141-0,World Musics,Stasack J, M  W  F ,1200 - 1250pm,SLOAN 201,26,0,26,CULT VPRQ,H
60352,MUS 228-0,Film Music,Lerner N,  T  R  ,1135 - 1250pm, ,20,0,20,VPRQ,O
60353,MUS 233-0,Musical Theatre,Lawing B,  T  R  ,0110 - 0225pm,SLOAN 201,26,0,26,VPRQ,F
60354,MUS 241-0,Music of Latin America,Botelho M,  T  R  ,0815 - 0930am,SLOAN 201,21,0,21,CULT VPRQ,"XLST,F"
60355,MUS 301-0,Advanced Harmony,Botelho M, M  W  F ,1050 - 1140am,SLOAN 201,20,0,20,VPRQ,"PRQ,F"
60356,MUS 312-0,Conducting,Keith T, M  W   ,0220 - 0335pm,SLOAN 200,6,0,6,NONE,"PRM,H"
