CRN1,SUBJECT,COURSE_TITLE,PROF,MEET_DAYS,CLASS_TIME,ROOM,MAX_ENROLL,CURR_ENROLL,OPEN_SEATS,REQUIREMENT,NOTES
60044,BIO 105-D,Biology For Life,Campbell M,  T  R  ,0110 - 0225pm, ,8,0,8,NSRQ,"BR,O,OL"
60045,BIO 111-A,"Molecules, Genes, & Cells",Bernd K,  T    ,0110 - 0400pm,WALL 104,6,0,6,NSRQ,"B-I,2+,H,HL"
60045,BIO 111-A,"Molecules, Genes, & Cells",Bernd K, M  W   ,0730 - 0845pm,WALL 243,6,0,6,NSRQ,"B-I,2+,H,HL"
60046,BIO 111-B,"Molecules, Genes, & Cells",Bernd K,  T    ,0110 - 0400pm,WALL 104,10,0,10,NSRQ,"B-I,H,HL"
60046,BIO 111-B,"Molecules, Genes, & Cells",Bernd K, M  W   ,0730 - 0845pm,WALL 243,10,0,10,NSRQ,"B-I,H,HL"
60047,BIO 111-C,"Molecules, Genes, & Cells",Bernd K,  T    ,0700 - 0950pm,WALL 104,6,0,6,NSRQ,"B-I,2+,H,HL"
60047,BIO 111-C,"Molecules, Genes, & Cells",Bernd K, M  W   ,0730 - 0845pm,WALL 243,6,0,6,NSRQ,"B-I,2+,H,HL"
60048,BIO 111-D,"Molecules, Genes, & Cells",Bernd K,  T    ,0700 - 0950pm,WALL 104,10,0,10,NSRQ,"B-I,H,HL"
60048,BIO 111-D,"Molecules, Genes, & Cells",Bernd K, M  W   ,0730 - 0845pm,WALL 243,10,0,10,NSRQ,"B-I,H,HL"
60049,BIO 112-A,"Organisms,Evolution,Ecosystems",Barsoum M, M     ,0110 - 0400pm, ,16,0,16,NSRQ,"B-II,O,OL"
60049,BIO 112-A,"Organisms,Evolution,Ecosystems",Barsoum M,  T  R  ,0110 - 0225pm, ,16,0,16,NSRQ,"B-II,O,OL"
60050,BIO 112-B,"Organisms,Evolution,Ecosystems",Barsoum M,  T    ,0815 - 1055am, ,16,0,16,NSRQ,"B-II,O,OL"
60050,BIO 112-B,"Organisms,Evolution,Ecosystems",Barsoum M,  T  R  ,0110 - 0225pm, ,16,0,16,NSRQ,"B-II,O,OL"
60051,BIO 113-A,Integrated Concepts in Bio I,Melonakos J,  T    ,0815 - 1055am, ,16,0,16,NSRQ,"B-I,H,OL"
60051,BIO 113-A,Integrated Concepts in Bio I,Melonakos J,  T  R  ,1135 - 1250pm,WALL 106,16,0,16,NSRQ,"B-I,H,OL"
60052,BIO 113-B,Integrated Concepts in Bio I,Melonakos J,    R  ,0815 - 1055am, ,16,0,16,NSRQ,"B-I,H,OL"
60052,BIO 113-B,Integrated Concepts in Bio I,Melonakos J,  T  R  ,1135 - 1250pm,WALL 106,16,0,16,NSRQ,"B-I,H,OL"
60053,BIO 113-C,Integrated Concepts in Bio I,Whitson J, M     ,0110 - 0400pm, ,16,0,16,NSRQ,"B-I,H,OL"
60053,BIO 113-C,Integrated Concepts in Bio I,Whitson J, M  W  F ,1050 - 1140am,WALL 210,16,0,16,NSRQ,"B-I,H,OL"
60054,BIO 113-D,Integrated Concepts in Bio I,Whitson J,   W   ,0110 - 0400pm, ,16,0,16,NSRQ,"B-I,H,OL"
60054,BIO 113-D,Integrated Concepts in Bio I,Whitson J, M  W  F ,1050 - 1140am,WALL 210,16,0,16,NSRQ,"B-I,H,OL"
60055,BIO 114-A,Integr Concepts in Biology II,Paradise C,   W   ,0110 - 0400pm,WALL 245,16,0,16,NSRQ,"B-II,O,HL"
60055,BIO 114-A,Integr Concepts in Biology II,Paradise C, M  W  F ,0940 - 1030am, ,16,0,16,NSRQ,"B-II,O,HL"
60056,BIO 114-B,Integr Concepts in Biology II,Paradise C,    R  ,0110 - 0400pm,WALL 245,16,0,16,NSRQ,"B-II,O,HL"
60056,BIO 114-B,Integr Concepts in Biology II,Paradise C, M  W  F ,0940 - 1030am, ,16,0,16,NSRQ,"B-II,O,HL"
60057,BIO 142-0,Biochem of Traditional Med,Pollet R, M  W  F ,1200 - 1250pm, ,32,0,32,CULT,O
60058,BIO 151-0,"Use, Misuse of Data in Biology",Smith K, M  W   ,0220 - 0335pm,WALL 307,10,0,10,JEC MQRQ,"PRM,R,H"
